"filename", "language", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Markdown", "HTML", "JavaScript JSX", "CSS", "C#", "XML", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\User.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\poster.domain.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, 0, -4, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Photos\CloudinarySettings.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -9, 0, 0, -1, -10
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Photos\PhotoAccessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -47, 0, 0, -8, -55
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsAdminRequirement.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -16, 0, 0, -4, -20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsCurrentUserRequirement.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -30, 0, 0, -11, -41
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsHostRequirement.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -34, 0, 0, -11, -45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\UserAccessor.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -3, -21
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\poster.infrastructure.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, -5, -18
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Aktywnosci\Repositories\AktywnoscRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -108, 0, 0, -16, -124
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Aktywnosci\Repositories\Interfaces\IAktywnoscRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -18, 0, 0, -2, -20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\DataContext.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -41, 0, 0, -9, -50
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Kategorie\Repositories\Interfaces\IKategorieRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Kategorie\Repositories\KategorieRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -46, 0, 0, -10, -56
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miasta\Respositories\Interfaces\IMiastaRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -2, -14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miasta\Respositories\MiastaRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -10, -58
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miejsca\Repositories\Interfaces\IMiejscaRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -2, -15
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miejsca\Repositories\MiejscaRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -55, 0, 0, -11, -66
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\20230529210117_InitialCreate.Designer.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -381, 0, -2, -144, -527
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\20230529210117_InitialCreate.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -367, 0, -3, -42, -412
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\DataContextModelSnapshot.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -379, 0, -1, -144, -524
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -48, 0, 0, -5, -53
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\AktywnosciSeed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -64, 0, 0, -2, -66
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\MiastoSeed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -219, 0, 0, -3, -222
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\UserSeed.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, -3, -15
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Users\Repository\Interfaces\IUsersRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -14, 0, 0, -2, -16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Users\Repository\UsersRepository.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -85, 0, 0, -14, -99
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\poster.persistance.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, 0, -5, -22
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\.VSCodeCounter\2023-05-30_00-11-37\details.md", "Markdown", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 6, 80
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\.VSCodeCounter\2023-05-30_00-11-37\diff-details.md", "Markdown", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 15
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\.VSCodeCounter\2023-05-30_00-11-37\diff.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 19
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\.VSCodeCounter\2023-05-30_00-11-37\results.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\.VSCodeCounter\2023-05-30_00-11-37\results.md", "Markdown", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\README.md", "Markdown", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 21, 47
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\package-lock.json", "JSON", 0, 13256, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13257
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\package.json", "JSON", 0, 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 70
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\public\index.html", "HTML", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 23, 1, 44
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\public\manifest.json", "JSON", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\api\agent.ts", "TypeScript", 0, 0, 153, 0, 0, 0, 0, 0, 0, 0, 0, 13, 166
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\common\PhotoUploadWidget.tsx", "TypeScript JSX", 0, 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 15, 140
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\common\translations.ts", "TypeScript", 0, 0, 96, 0, 0, 0, 0, 0, 0, 0, 0, 1, 97
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\components\Clock.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 53, 0, 0, 0, 0, 8, 61
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\components\Number.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 2, 13
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\components\Word.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\components\clockStyles.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 101, 0, 0, 0, 18, 119
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\components\copyright.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\layout\App.tsx", "TypeScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\layout\LoadingComponent.tsx", "TypeScript JSX", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\app\layout\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 266, 0, 0, 0, 0, 0, 0, 0, 10, 276
