Date : 2023-05-30 00:13:07
Directory : c:\Users\dell\Desktop\Projekt inżynierski\poster.client
Total : 76 files,  18790 codes, 64 comments, 488 blanks, all 19342 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileContent.tsx                | TypeScript JSX     |         60 |         16 |         10 |         86 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfileHeader.tsx                 | TypeScript JSX     |         33 |         13 |          4 |         50 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfilePage.tsx                   | TypeScript JSX     |         29 |          0 |          6 |         35 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\features\users\profile\ProfilePhotosList.tsx             | TypeScript JSX     |        110 |          0 |          7 |        117 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\index.tsx                                                | TypeScript JSX     |         17 |          0 |          3 |         20 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\react-app-env.d.ts                                       | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\reportWebVitals.ts                                       | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\src\setupTests.ts                                            | TypeScript         |          1 |          4 |          1 |          6 |
| c:\Users\dell\Desktop\Projekt inżynierski\poster.client\tsconfig.json                                                | JSON with Comments |         26 |          0 |          1 |         27 |
| Total                                                                                                                |                    |     18,790 |         64 |        488 |     19,342 |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
