"filename", "language", "C#", "XML", "JSON", "comment", "blank", "total"
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Aktywnosc.cs", "C#", 19, 0, 0, 0, 3, 22
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\AktywnoscUser.cs", "C#", 11, 0, 0, 0, 1, 12
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Kategoria.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Miasto.cs", "C#", 10, 0, 0, 0, 1, 11
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Miejsce.cs", "C#", 13, 0, 0, 0, 1, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\Photo.cs", "C#", 13, 0, 0, 0, 1, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\User.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.domain\poster.domain.csproj", "XML", 0, 10, 0, 0, 4, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Photos\CloudinarySettings.cs", "C#", 9, 0, 0, 0, 1, 10
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Photos\PhotoAccessor.cs", "C#", 47, 0, 0, 0, 8, 55
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsAdminRequirement.cs", "C#", 16, 0, 0, 0, 4, 20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsCurrentUserRequirement.cs", "C#", 30, 0, 0, 0, 11, 41
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\IsHostRequirement.cs", "C#", 34, 0, 0, 0, 11, 45
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\Security\UserAccessor.cs", "C#", 18, 0, 0, 0, 3, 21
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.infrastructure\poster.infrastructure.csproj", "XML", 0, 13, 0, 0, 5, 18
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Aktywnosci\Repositories\AktywnoscRepository.cs", "C#", 108, 0, 0, 0, 16, 124
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Aktywnosci\Repositories\Interfaces\IAktywnoscRepository.cs", "C#", 18, 0, 0, 0, 2, 20
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\DataContext.cs", "C#", 41, 0, 0, 0, 9, 50
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Kategorie\Repositories\Interfaces\IKategorieRepository.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Kategorie\Repositories\KategorieRepository.cs", "C#", 46, 0, 0, 0, 10, 56
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miasta\Respositories\Interfaces\IMiastaRepository.cs", "C#", 12, 0, 0, 0, 2, 14
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miasta\Respositories\MiastaRepository.cs", "C#", 48, 0, 0, 0, 10, 58
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miejsca\Repositories\Interfaces\IMiejscaRepository.cs", "C#", 13, 0, 0, 0, 2, 15
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Miejsca\Repositories\MiejscaRepository.cs", "C#", 55, 0, 0, 0, 11, 66
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\20230529210117_InitialCreate.Designer.cs", "C#", 381, 0, 0, 2, 144, 527
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\20230529210117_InitialCreate.cs", "C#", 367, 0, 0, 3, 42, 412
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Migrations\DataContextModelSnapshot.cs", "C#", 379, 0, 0, 1, 144, 524
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seed.cs", "C#", 48, 0, 0, 0, 5, 53
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\AktywnosciSeed.cs", "C#", 64, 0, 0, 0, 2, 66
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\MiastoSeed.cs", "C#", 219, 0, 0, 0, 3, 222
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Seed\Seeders\UserSeed.cs", "C#", 12, 0, 0, 0, 3, 15
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Users\Repository\Interfaces\IUsersRepository.cs", "C#", 14, 0, 0, 0, 2, 16
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\Users\Repository\UsersRepository.cs", "C#", 85, 0, 0, 0, 14, 99
"c:\Users\dell\Desktop\Projekt inżynierski\Poster\poster.persistance\poster.persistance.csproj", "XML", 0, 17, 0, 0, 5, 22
"Total", "-", 4442, 80, 42, 257, 919, 5740
